x, y
2001.0504200782736, 0.9480976539737273
2028.361342113391, 0.9480976539737273
2076.6806657139828, 0.9409189029191126
2108.193268062195, 0.9452261535518814
2180.672253463082, 0.9473797788682657
2234.243677455043, 0.9538406548174189
2278.3613207425396, 0.9452261535518814
2305.67230689021, 0.9373295273918055
2343.4874297080646, 0.9380473915433621
2371.8487718214556, 0.9323043797457656
2407.562990370209, 0.9387652556949188
2447.4790174571644, 0.9373295273918055
2501.0503773365713, 0.9380473915433621
2543.0671804675208, 0.9423546421761307
2589.2856639115653, 0.9480976539737273
2661.764649312453, 0.9495334041846503
2715.3360733044133, 0.9301507544293813
2744.7478354960776, 0.8877961451149649
2748.9495158091727, 0.8490308894200462
2761.554556748458, 0.7994975071432057
2781.512538235658, 0.7219669957533683
2846.63858308863, 0.27329505483995764
2877.1007653585684, 0.15556353754427868
2897.0587468457693, 0.09885131658158514
2914.915888176423, 0.07157215020528823
2936.974709820171, 0.052189522357828894
2962.184791698741, 0.042139270881368485
2993.697394046953, 0.03854980772282274
3028.361256629986, 0.04501068367197586
3059.873858978198, 0.062239686203050815
3084.0335207784938, 0.08162231405051015
3107.1427625005163, 0.10818378058382253
3123.9496119780033, 0.13689878480228082
3140.7562050052757, 0.18571429197365988
3163.865446727298, 0.23668342446142335
3180.6722962047847, 0.2998564337420315
3202.7311178485334, 0.3773869451318689
3239.495692363007, 0.4800430852128573
3271.0082947112187, 0.5812634750829228
3306.7227055976327, 0.6508973603126841
3337.184759642464, 0.6695621130546819
3361.34442144276, 0.6229002311996873
3353.991609119951, 0.6501794852072226
3391.806731937805, 0.20078966918835048
3377.100722616866, 0.42189520167047934
3393.907443869246, 0.13187365906405063
3404.4117728770902, 0.09741565400190069
3418.067105669542, 0.10818378058382253
3439.0756354601235, 0.109619443163507
3450.6301280960274, 0.16992103965350783
3456.9326485656698, 0.2496051763597296
3462.184748957038, 0.3163675611676451
3474.7897898963233, 0.34221106496425757
3490.5460910704296, 0.30703518479664615
3496.848611540072, 0.2682699291017274
3507.352812322809, 0.24888730125426814
3515.756172948999, 0.30631730969118465
3525.2099536534624, 0.40323044892848137
3534.663734357926, 0.4900932928736985
3552.521003913687, 0.5891600574273795
3574.579697332328, 0.6846374902693726
3613.445240228456, 0.7334529974407517
3677.520865003154, 0.7664752303841691
3731.0922889951144, 0.7808327544012078
3804.621694474276, 0.818880134990665
3853.9914381531416, 0.8526202430395439
3943.2771448064086, 0.8784637468361564
4032.5628514596765, 0.894257021064118
4111.344357330207, 0.9057430227515014
4177.520822261451, 0.9143575240170388
4238.445186801328, 0.9272792759153451
4282.562830088826, 0.9315865265481137
4304.621651732574, 0.9014357721187326
4325.630053298048, 0.9064608759491531
4345.588034785249, 0.9409189029191126
4411.764499716494, 0.9445082674925153
4465.335923708455, 0.9437904033409587
4572.478771692376, 0.9437904033409587
4519.957767778689, 0.9423546421761307
4654.411537797727, 0.9416367780245741
4786.764467660218, 0.9430725282354971
4725.840359570555, 0.9409189029191126
4820.378166615192, 0.9409189029191126
4888.655215252769, 0.9445082674925153
4974.789918121431, 0.9480976539737273
