wl,n
8.376269,1.536391
8.396616,1.535435
8.417062,1.535406
8.437608,1.535785
8.458255,1.536927
8.479003,1.537799
8.499853,1.540818
8.513805,1.541832
8.534826,1.541525
8.555952,1.538773
8.577183,1.537986
8.598519,1.538878
8.619961,1.540119
8.634318,1.540116
8.655940,1.538157
8.677671,1.537579
8.699510,1.537312
8.714134,1.537338
8.736158,1.538910
8.758293,1.538180
8.773107,1.536167
8.795438,1.535223
8.817868,1.536799
8.832892,1.537777
8.855521,1.539884
8.878267,1.541889
8.893498,1.542325
8.916439,1.542100
8.939498,1.541322
8.954941,1.540054
8.978200,1.538938
8.993768,1.537937
9.017230,1.538950
9.032942,1.539741
9.056609,1.542067
9.072459,1.545032
9.096334,1.545372
9.112315,1.544547
9.136400,1.543833
9.152531,1.542784
9.176829,1.542236
9.193103,1.542644
9.217618,1.541072
9.234028,1.538983
9.258762,1.538274
9.275328,1.538870
9.291953,1.540897
9.316999,1.542895
9.333765,1.542576
9.359037,1.539289
9.375964,1.537289
9.392952,1.537129
9.418546,1.540297
9.435680,1.542214
9.452886,1.541525
9.478808,1.539738
9.496171,1.540945
9.513589,1.542739
9.539855,1.538881
9.557433,1.539074
9.575086,1.541895
9.592805,1.543700
9.619501,1.539033
9.637375,1.539793
9.655324,1.539740
9.673341,1.538858
9.691416,1.538869
9.718664,1.541811
9.736918,1.542570
9.755241,1.543843
9.773623,1.544731
9.792085,1.541981
9.819903,1.539920
9.838540,1.540688
9.857238,1.542076
9.876016,1.542876
9.894867,1.541807
9.913780,1.539386
9.932775,1.539425
9.951843,1.540499
9.970974,1.540565
9.999820,1.542173
10.019150,1.543404
10.038550,1.543701
10.058010,1.542605
10.077570,1.541396
10.097200,1.538729
10.116890,1.538145
10.136670,1.539844
10.156530,1.537774
10.176460,1.537505
10.196480,1.543108
10.216570,1.547875
10.236730,1.544993
10.256990,1.541041
10.277320,1.539747
10.297730,1.541110
10.318220,1.543080
10.338800,1.542641
10.359450,1.542242
10.369820,1.541581
10.390590,1.541486
10.411460,1.543015
10.432410,1.542977
10.453440,1.542546
10.474560,1.545178
10.495770,1.546223
10.517060,1.543624
10.538430,1.541367
10.559900,1.542061
10.570660,1.543403
10.592260,1.546102
10.613940,1.545778
10.635710,1.544665
10.657570,1.541622
10.679530,1.542913
10.690530,1.544224
10.712630,1.545789
10.734800,1.547385
10.757070,1.543492
10.779440,1.540609
10.790650,1.540577
10.813160,1.543384
10.835750,1.545648
10.858450,1.544640
10.869830,1.544151
10.892660,1.543696
10.915600,1.540736
10.938620,1.537060
10.950180,1.536745
10.973350,1.543624
10.996620,1.547070
11.020000,1.540918
11.031720,1.539470
11.055250,1.539798
11.078860,1.537343
11.090720,1.538265
11.114480,1.540766
11.138360,1.542067
11.150340,1.541666
11.174370,1.542448
11.198510,1.546389
11.210610,1.546484
11.234910,1.541606
11.259300,1.541156
11.271540,1.544477
11.296090,1.551206
11.308420,1.551150
11.333130,1.544630
11.357960,1.541158
11.370410,1.544156
11.395400,1.550529
11.407930,1.551735
11.433090,1.549803
11.458360,1.548955
11.471030,1.548477
11.496470,1.545337
11.509230,1.543543
11.534840,1.542151
11.547680,1.544239
11.573460,1.550037
11.599350,1.548744
11.612340,1.548899
11.638410,1.548240
11.651480,1.547915
11.677730,1.545721
11.690890,1.544860
11.717310,1.547475
11.730560,1.548330
11.757170,1.547257
11.770510,1.543179
11.797290,1.540349
11.810730,1.543871
11.837700,1.547926
11.851220,1.549613
11.878370,1.548218
11.891990,1.546808
11.919330,1.545810
11.933050,1.545642
11.946790,1.545001
11.974380,1.544447
11.988220,1.544458
12.016010,1.542921
12.029940,1.542809
12.057930,1.542073
12.071960,1.542486
12.086040,1.549266
12.114270,1.550542
12.128450,1.552165
12.156870,1.555822
